# This Arabidopsis expression dataset was taken from the functional genomics expression project, 
# Low temperature regulatory circuits and gene regulons in higher plants (Michael Tomashow's group),
# http://arabidopsis.org/info/expression/index.html

# Columns of this dataset are:
# Arabidopsis locus id	time_point_1	time_point_2	time_point_3	time_point_4	# time_point_5	time_point_6	
#
At1g78580	0.05	0.65	1.2	1.15	-0.25	-1.3
At1g78580	0.1	0	1.1	0.1	-1.43	-1.8
At1g78580	1.38	0	1.1	0.05	-1.45	-1.3
At1g78580	1.38	1.2	1.15	1.25	-1.18	-0.62
At1g79230	-0.82	-1.5	-0.78	-1.55	-1.78	-1.72
At1g79230	-0.05	0	-1.08	-1.15	-1.67	-1.58
At1g79460	0.2	-0.07	0.25	0.12	46.48	-0.2
At1g79470	0.45	2.3	2	2.15	3.08	2.03
At1g79530	0.05	1.53	0.5	1.25	1.15	1.75
At1g79550	-0.03	-0.65	-0.7	-1.25	-0.58	1.48
At1g80560	-1.28	-1.17	-1.22	-1.45	-1.62	-1.7
At2g01140	-0.1	0.02	0.03	0.03	-0.05	0.8
At2g01290	0.15	0.6	1.38	1.5	-1.53	-1.85
At2g01350	1.28	0.7	-0.28	0.62	0.6	0.62
At2g02010	0.92	1.55	1.4	2.12	1.9	1
At2g02500	-0.85	1	-0.67	-0.5	-1.28	-1.5
At2g04400	-1.25	-1.62	-0.95	-1.3	-1.38	-0.6
At2g04650	-0.07	-0.8	-0.67	-0.95	-0.42	-0.3
At2g07050	-0.87	-0.08	-1.28	-1.4	-1.97	-1.52
At2g13810	-0.75	-2.12	-1.03	-1.88	0.62	-0.55
At2g16500	0	1.17	2.12	2.62	1.72	1.52
At2g16730	-0.5	0.05	-0.17	0.02	0.17	0.62
At2g18230	-0.67	0.6	-1.1	-1.75	-2.12	-0.97
At2g18230	-0.65	-1.25	-1.35	-1.43	-1.62	-1.25
At2g18450	0.5	-0.18	0.85	-0.07	0.72	0.53
At2g18700	0.15	1.25	-0.08	-1.45	0.68	-1.78
At2g18730	0.8	-0.08	1.55	1.43	1.62	0.7
At2g19570	-0.35	1.17	-2.22	-2.92	-5.4	-3.35
At2g19570	0.78	1.3	-0.95	-1.85	-2.8	-1.6
At2g19940	1	-0.2	-0.15	-0.4	-1.35	-1.55
At2g20420	-1.25	-0.65	-0.6	-0.62	0.62	0
At2g20610	-0.93	-0.68	-0.65	-0.1	-1.57	-0.03
At2g20900	-0.45	1.25	0	-0.65	0.58	0.62
At2g21170	-0.07	1.08	-0.03	-0.12	-1.12	-1.35
At2g21330	-0.07	-1.3	-1.3	-0.7	-1.32	-1.83
At2g21550	-0.12	-0.25	-0.8	-0.63	-1.08	-0.22
At2g21590	0.6	-0.62	0.65	0.7	1.77	0.2
At2g21940	-0.1	0.18	-1.15	-0.78	-0.1	-0.55
At2g22190	-0.55	0.55	2.2	2.25	2.1	0.35
At2g22250	-0.2	1.25	1.1	-0.02	-0.03	-1.15
At2g22810	-1.37	-0.53	0.2	0.78	1.32	-1.12
At2g22830	1.33	1.4	1.45	1.4	1.6	-0.57
At2g22930	0.8	1.07	1.55	2.03	0.85	0.65
At2g22990	0.05	-0.57	-0.55	-0.05	-2.38	-4.53
At2g24850	-0.65	-1.55	-1.55	-0.87	1.7	-0.88
At2g26230	-0.65	-1.2	-0.07	0.5	1.33	1.35
At2g26800	0.58	-1.13	0	1.13	1.23	-1.3
At2g27360	1.33	0.15	0	0.05	-1.77	-1.6
At2g27450	-0.95	-0.03	-0.05	-0.57	-1.62	0.03
At2g27860	0.6	-0.03	-1.1	-0.1	1.15	-1.08
At2g28210	-0.12	-1	0.02	-0.7	-1.57	-1.55
At2g28450	1.33	0.05	0	0.6	1.42	1.28
