#
#  ecocyc 9.5 Genes link table generated on Wed Jul 27, 2005
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  SwissProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   EG#          = EcoGene identifier
#   b#           = Blattner Genbank record identifier
#   y-name       = EcoGene y-name assigned in 1998 if the function was not established at that time
#   CGSC-ID      = Coli Genetic Stock Center identifier
#   SwissProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
EG10846	EG10846	b3593			P16916	rhsA
EG10010	EG10010	b1456		33720	P24211	rhsE
G7935		b4339	yjiQ		P39388	b4339
G7934		b4338	yjiP		P39387	yjiP
G7908		b4294			P19767	insA_7
G7906		b4285			Q47718	b4285
G7905		b4284			P37246	tra8_3
G7904		b4283			P39212	b4283
G7900		b4278			P03835	b4278
G7895		b4273			P19777	b4273
G7894		b4272			P19776	b4272
G7777		b3558			P19769	yi5B
G7776		b3557			P19768	yi5A
G7769		b3505			P03837	b3505
G7762		b0021			P03830	insB_6
G7761		b1894			P03827	insA_6
G7672		b3218			P03837	b3218
G7584		b3045			P19777	b3045
G7583		b3044			P19776	b3044
G7548		b2982			P03837	b2982
G7481		b2861			P19776	b2861
G7480		b2860			P19777	b2860
G7255		b2394			P08409	b2394
G7251		b2389	yfeO		P76526	yfeO
G7197		b2305	yfcI		P77768	yfcI
G7150		b2192			P03837	b2192
G7126		b0372			P77673	tra5_4
G7125		b2088			P77681	b2088
G7092		b2030			P03837	b2030
G7074		b1994			P03837	b1994
G7030		b1894			P03827	insA_5
G7029		b0021			P03830	insB_5
G6725		b4284			P37246	tra8_2
G6724		b1403			P19776	b1403
G6723		b1402			P19777	b1402
G6667		b1331			P03837	b1331
G6534		b1027			P77681	b1027
G6533		b0372			P77673	tra5_3
G6509		b0988			P57998	insB_4
G6377		b0705	ybfL		P75741	ybfL
G6360		b0656			P03837	b0656
G6327		b0582			P08409	b0582
G6224		b0373			P77681	b0373
G6223		b0372			P77673	tra5_1
G6213		b0361			P19777	b0361
G6212		b0360			P19776	b0360
G6169		b0299			P77673	b0299
G6168		b0298			P77681	b0298
G6086		b1894			P03827	insA_1
G6085		b0021			P03830	insB_1
G6084		b0017			P08410	b0017
G6083		b0016			P08409	b0016
EG12323	EG12323	b2244	yfaD		P37014	yfaD
EG11750	EG11750	b3411	yhgA		P31667	yhgA
EG11748	EG11748	b0132	yadD		P31665	yadD
EG11611	EG11611	b1239	ychG		P30192	ychG
G7380		b2645	yfjZ		P52141	yfjZ
G7379		b2644	yfjY		P52140	yfjY
G7378		b2643	yfjX		P52139	yfjX
G7377		b2642	yfjW		P52138	yfjW
G7376		b2641			P76609	b2641
G7375		b2640	yfjV		P76608	b2640
G7373		b2638	yfjU		P52136	yfjU
G7372		b2637	yfjT		P52135	yfjT
G7370		b2635	ypjK		P52134	ypjK
G7369		b2634	yfjR		P52133	yfjR
G7368		b2633	yfjQ		P52132	yfjQ
G7367		b2632	yfjP		P52131	yfjP
G7366		b2631	yfjO		P52130	yfjO
G7365		b2630	yfjN		P52129	yfjN
G7364		b2629	yfjM		P52128	yfjM
