ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YBL056W		1.33	1.47	1.09	1.09	1.47	1.1	
YBL057C		.77	1.33	.81	.69	1.23	.88	
YBL058W	SHP1	1.08	1.3	.86	.95	1.96	1.69	
YBL059W		.64	1.08	.85	.72	1.47	1.32	
YBL060W		.92	1.16	.89	.85	1.22	1.18	
YBL061C	SKT5	.85	1.22	.79	.74	1.3	.57	
YBL062W		1.11	1.16	.74	.92	1.1	.82	
YBL063W	KIP1	1.72	.93	.74	.55	.54	.52	
YBL064C		1.03	1.67	1.85	1.69	11.11	7.14	
YBL065W		1.59	.88	.7	.67	.7	.79	
YBL066C		1.43	.74	.69	.68	1.2	2.04	
YBL067C	UBP13	.89	1.08	.75	.55	.85	.67	
YBL068W	PRPS4	.96	1.04	.57	.48	.49	.48	
YBL069W	AST1	.97	1.39	.86	.72	1	1.12	
YBL070C		1.79	.85	.71	.57	.65	.91	
YBL071C		1.18	.93	.55	.57	.7	.4	
YBL072C	RPS8A	1.14	1.18	1.03	.96	.93	.25	
YBL073W		1.25	.88	.63	.62	1	.99	
YBL074C	AAR2	.93	1.22	.83	.56	1.16	1	
YBL075C	SSA3	.91	1.02	.97	1.02	2.44	2.7	
YBL076C	ILS1	1.28	1.12	.85	.76	.29	.27	
YBL077W		1.01	1.43	.92	.69	.74	.36	
YBL078C		.89	1.1	1.18	1.25	5	4.35	
YBL079W	NUP170	.88	.81	.7	.72	.56	.46	
YBL080C	PET112	.98	1.1	.89	1.02	1.39	1.41	
YBL081W		.82	1.43	.71	.68	1.06	.78	
YBL082C	ALG3	1.06	1.64	.81	.94	1.28	1.15	
YBL083C		.88	1.3	.78	.8	1.15	.68	
YBL084C	CDC27	.82	.63	.55	.65	.88	1.18	
YBL085W	BOB1	.93	1.06	.85	.77	.78	.67	
YBL086C		.81	1.04	.91	1.02	3.03	1.92	
YBL087C	RPL17A	1.15	1.45	.94	.81	.43	.34	
YBL088C	TEL1	1.41	1.03	.69	.49	.7	.72	
YBL089W		1.18	1.43	1	.81	1.01	1.02	
YBL090W		1.01	1.02	1.08	1.1	2.38	1.33	
YBL091C	MAP2	1.16	1.64	1.04	.71	1.43	.79	
YBL092W	RPL32	.95	.93	.8	.8	.52	.56	
YBL093C	ROX3	1.23	.94	.82	.78	1.08	.85	
YBL094C		1.03	.85	.89	.71	1.89	1.33	
YBL095W		1.11	1.16	.81	.75	1.72	1.47	
YBL096C		.95	1.03	.92	.79	2.04	1.39	
YBL097W		1.11	1.25	.81	.67	1.23	1.33	
YBL098W		.9	1.12	1.19	1.33	.8	1.35	
YBL099W	ATP1	1.3	1.92	1.52	2.17	2.63	4.55	
YBL100C		1.16	1.33	1.49	1.85	2.44	5.26	
YBL101C		.9	.88	.79	.86	.83	.74	
YBL101W-A	TY2A	1.54	1.18	.93	.75	.59	.76	
YBL101W-B	TY2B	1.16	1.05	.9	.74	.47	.52	
YBL102W	SFT2	1.28	1.25	1.05	1.25	2.13	1.72	
YBL103C	RTG3	.65	1.14	.81	.68	1.2	1.02	
YBL104C		1.16	.98	.66	.81	.58	.79	
YBL105C	PKC1	1.23	1.22	.82	.98	1.22	.98	
YBL106C		1.12	1.04	.63	.64	.38	.7	
YBL107C		1.03	1.49	1.08	1.23	1.69	2.38	
YBL108W		1.06	1.32	1.16	1.96	1.85	5.26	
YBL109W		1.45	1.09	.95	.79	.76	1.23	
YBL110C		1.05	1.3	.79	.71	.48	1.02	
YBL111C		1.37	1.1	1.1	.71	.7	.97	
YBL112C		1.01	.93	1.01	.78	.67	1.09	
YBL113C		1.12	1.11	1.04	.88	.66	.63	
YBR001C	NTH2	.96	1.43	1.54	.88	2.08	3.03	
YBR002C		.85	1.05	.8	.66	.9	.73	
YBR003W	COQ1	1.11	1.37	1.06	.79	1.54	1.33	
YBR004C		1.02	1.49	1.09	.91	1.02	.55	
YBR005W		1.02	1.54	1.02	.97	1.79	1.27	
YBR006W		.83	1.3	1.2	1.06	2.44	2.44	
YBR007C		.83	1.43	.96	.61	.99	.78	
YBR008C		.91	1.45	.82	.79	1.3	.97	
YBR009C	HHF1	.99	1.15	.91	1.27	.82	.7	
YBR010W	HHT1	1.28	1.39	1.06	1.27	2.04	.94	
YBR011C	IPP1	1.28	.87	.63	.77	.9	.7	
YBR012C		.75	.94	.68	.71	.88	.46	
YBR012W-A	TY1A	1.16	1.25	.96	.93	.52	.68	
YBR012W-B	TY1B	1.05	.99	.96	1.04	.93	.41	
YBR013C		.84	.99	.78	.91	.88	.74	
YBR014C		.84	1.09	1.03	1.09	1.67	.9	
YBR015C	TTP1	1.35	1.49	.86	.89	.92	.75	
YBR016W		.61	.66	.62	.66	1.35	.56	
YBR017C		1.05	1.1	.82	.95	.56	.5	
YBR018C	GAL7	.63	.95	.69	.58	1.27	1.49	
YBR019C	GAL10	.76	1.59	.91	.59	1.56	1.72	
YBR020W	GAL1	1.08	1.22	1.08	.98	1.39	.85	
YBR021W	FUR4	.93	1.61	.96	.93	1.01	1.85	
YBR022W		.88	1.02	1.01	.85	1.09	.71	
YBR023C	CHS3	1.43	1.19	.94	.79	.54	1.16	
YBR024W	SCO2	.88	.98	.99	.74	2.38	1.33	
YBR025C		1.33	1.09	.79	.62	.6	1.06	
YBR026C	MRF1	.91	1.32	1.41	.92	2.63	2	
YBR027C		.99	1.03	.93	.69	.85	1.16	
YBR028C		1.23	1.04	1.03	.85	.79	.56	
YBR029C	CDS1	1.25	1.22	.98	.78	.84	.82	
YBR030W		.74	1.19	.75	.68	.93	.78	
YBR031W	RPL2A	1.18	1.64	1.23	1.08	.57	.32	
YBR032W		1.11	1.32	1.1	.96	.47	.19	
YBR033W		1.08	1.16	.85	1.05	1.05	1.22	
YBR034C	ODP1	1.09	1.12	.47	.48	.65	.39	
YBR035C	PDX3	1	1.52	1.12	1.39	1.85	1.59	
YBR036C	CSG2	1.02	1.75	1.22	1.04	1.59	1.22	
YBR037C	SCO1	.93	1.43	1.02	1.15	1.61	1.47	
YBR038W	CHS2	.98	1.04	.86	.81	.67	.6	
YBR039W	ATP3	.91	1.37	1.02	1.2	2.17	3.33	
YBR040W		.65	1.02	.85	.57	1.2	.73	
YBR041W		1.12	1.22	1.22	1.2	1.03	1.06	
YBR042C		1.23	1.15	.88	.66	.7	.37	
YBR043C		.96	1.22	.82	.75	.78	.91	
YBR044C		1	1.18	.93	.66	1.14	.99	
YBR045C		1.08	1.16	.96	.79	.93	1.19	
YBR046C	ZTA1	1.59	.74	.96	.88	3.03	2.5	
YBR047W		1.22	.84	.7	.55	1.1	1.15	
YBR048W	RPS18B	1.15	1.05	.75	.5	.35	.18	
YBR049C	REB1	1.01	1.3	.93	.65	.63	.66	
YBR050C		.99	1.03	.79	.61	1.12	2.17	
YBR051W		1.15	1	.76	.52	1.25	6.25	
YBR052C		1	1.64	2.17	1.47	4.76	2.44	
YBR053C		1.15	1.52	1.37	.97	2.5	2.13	
