ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YIL157C		.85	1.23	1.05	1.25	1.89	1.28	
YIL158W		.95	1.27	.92	.89	1.16	.76	
YIL159W		.92	.75	.68	.76	.52	.77	
YIL160C	FOX3	.6	.99	.57	.79	1.47	1.16	
YIL161W		.76	1.05	.75	1.18	1.64	1.45	
YIL162W	SUC2	1.3	1.72	1.3	1.03	6.67	2.56	
YIL163C		.82	.93	.73	.75	.78	1.03	
YIL164C		1.02	1.06	.81	.83	1.16	.91	
YIL165C		.99	.87	.79	.86	2.08	1.28	
YIL166C		.66	1.67	.83	.7	2.13	1.54	
YIL167W	SDL1	.92	1.03	.81	.73	1.39	1.56	
YIL168W		.72	1.32	.72	.78	1.59	1.16	
YIL169C		1.25	1.25	1.23	1.61	2	2.86	
YIL170W	HXT12	.68	1.09	.67	.62	1.33	1.25	
YIL171W		.81	1.09	.92	.79	1.33	1.09	
YIL172C		.68	.97	.79	.72	1.54	.98	
YIL173W		.96	.86	.97	.9	.82	.86	
YIL174W		.83	.85	.61	.6	1.32	.83	
YIL175W		.95	1.09	.65	.71	.52	.93	
YIL176C		1.11	1.09	.9	1.06	1.11	.97	
YIL177C		.85	.81	.77	.8	.52	.71	
YIR001C		.83	1.04	.92	.93	2	1.28	
YIR002C		1.06	1.16	.72	.93	.88	1.32	
YIR003W		.9	1.19	.86	1.08	1.92	1.25	
YIR004W		1.11	1.32	.75	1.12	1.05	1.23	
YIR005W		.78	.93	.88	.79	1.35	.8	
YIR006C	PAN1	.95	.86	.78	.68	.72	.68	
YIR007W		.68	.74	.83	.76	.96	.63	
YIR008C	PRI1	.98	1.1	.79	.8	1.08	.85	
YIR009W		.79	.89	.88	.63	1.18	.63	
YIR010W		.88	1.23	.78	.81	1.64	.86	
YIR011C	DBF8	.75	1.06	.81	.7	1.67	.85	
YIR012W		1.37	1.43	.65	.64	.56	.37	
YIR013C		.65	.75	.78	.65	1.15	.76	
YIR014W		.93	1.2	1.03	.9	1.3	1.18	
YIR015W		.78	.83	.81	.75	1.04	.58	
YIR016W		.88	1.3	.98	1.1	2.17	1.45	
YIR017C	MET28	.7	.86	.72	.7	1.52	.97	
YIR018W		.89	1.1	.81	.67	1.61	1.32	
YIR019C	STA1	.66	.75	.76	.72	.88	.67	
YIR020C		1.04	1.18	.9	.72	1.14	1	
YIR021W	MRS1	.77	.86	.74	.81	.79	.4	
YIR022W	SEC11	1.15	1.28	1.08	1.23	1.47	.87	
YIR023W	DAL81	.69	.76	.68	.61	.53	.46	
YIR024C		.84	1.25	.89	1.01	1.59	1.3	
YIR025W		.71	.92	.68	.65	1.18	.76	
YIR026C	YVH1	1.16	1.33	.64	.61	1.14	.7	
YIR027C	DAL1	.78	.87	.65	.63	1.23	1.06	
YIR028W	DAL4	.88	1.12	.81	.76	1.47	1.32	
YIR029W	DAL2	1.06	.82	.64	.7	1.27	1.09	
YIR030C	DCG1	.84	1.25	.92	.83	1.54	1.37	
YIR031C	DAL7	.74	1.61	.7	.79	1.14	1.03	
YIR032C	DAL3	.87	.97	.96	.85	.88	.88	
YIR033W		.92	.97	.78	.74	.6	.52	
YIR034C	LYS1	1.03	1.25	.68	.72	1.69	.93	
YIR035C		.89	1.47	1.15	1.03	1.08	.71	
YIR036C		1.12	1.47	.94	1.08	2.04	1.32	
YIR037W	HYR1	.96	1.23	1.25	1.09	1.96	1.45	
YIR038C		1.18	1.75	1.59	1.43	3.85	3.03	
YIR039C		.62	1.54	2	1.43	3.85	4	
YIR040C		.95	1.12	.85	.73	.85	.71	
YIR041W		.99	1.2	1.18	.8	1.18	.75	
YIR042C		.87	1.14	.95	.69	1.41	1.06	
YIR043C		1	1.69	1.69	1.49	1.89	1.28	
YIR044C		1.19	1.41	1.43	1.2	1.69	1.39	
YJL001W	PRE3	1.01	1.04	.8	.86	1.27	.55	
YJL002C	OST1	1.32	1.56	1.23	1.28	.8	.51	
YJL003W		.84	1.03	.84	.95	1.22	1.05	
YJL004C		1.35	1.61	1.16	1.14	1.32	1.18	
YJL005W	CYR1	.88	.9	.92	1.04	.88	1.01	
YJL006C	CTK2	.8	.76	.75	.81	.97	.62	
YJL007C		.77	.85	.67	.56	.96	.85	
YJL008C	CCT8	1.43	1.37	.98	.91	1.16	.66	
YJL009W		.89	1.1	.79	.92	1	.65	
YJL010C		1.14	1.1	.62	.63	.55	.41	
YJL011C		.75	1.05	.73	.74	.97	1.61	
YJL012C		1.06	.83	.74	.67	.53	.36	
YJL013C	MAD3	.94	1.09	1.05	.89	.86	.68	
YJL014W	CCT3	1.45	1.56	1.01	.86	.8	.53	
YJL015C		.7	1.19	1.15	.78	1.41	1.56	
YJL016W		.98	1.25	1.03	.83	1.33	1.79	
YJL017W		1.82	1.43	1.04	.91	1.35	1.79	
YJL018W		.91	.93	.85	.65	.72	.98	
YJL019W		1.41	1.02	.88	.78	1.11	1.02	
YJL020C		1.1	1.16	1.14	1.05	1.41	1.33	
YJL021C		1.27	1.49	1.18	1	2.08	1.33	
YJL022W		.9	1.19	.98	.81	1.04	1.18	
YJL023C	PET130	1.22	1.27	.96	.81	1.64	1.22	
YJL024C	YKS7	1.1	.99	.81	.81	1.72	.92	
YJL025W	RRN7	1.04	.93	.72	.75	.81	1.52	
YJL026W	RNR2	1.61	2.27	1.39	1.56	1.59	1.37	
YJL027C		.85	.7	.66	.58	1.15	1.47	
YJL028W		.85	.88	.88	.8	.88	.88	
YJL029C		.96	.92	.76	.88	.85	1.64	
YJL030W	MAD2	.93	1.05	.98	.94	.93	.75	
YJL031C	BET4	.94	1.25	.96	.96	2.33	1.59	
YJL032W		1.05	1.35	1.1	1.1	1.59	1.41	
YJL033W		1.01	1.16	.52	.78	.63	.65	
YJL034W	KAR2	1.3	1.05	.97	1.05	1.45	1.41	
YJL035C		.61	1.18	.74	.67	1.28	.82	
YJL036W		1.03	1.3	.87	.9	2.04	1.82	
YJL037W		.64	1.39	.9	1.33	1.72	1.39	
YJL038C		.8	1.52	.96	.78	1.49	1.39	
YJL039C		1.12	1.2	.93	1.11	.6	.61	
YJL041W	NSP1	.96	1.27	.78	.8	.82	.81	
YJL042W	MHP1	.89	1.28	.95	1	1.59	1.16	
YJL043W		.82	1.04	.73	.86	1.14	1.14	
YJL044C	GYP6	.99	1.25	1	1	1.22	.72	
YJL045W		.88	1.33	.94	.71	2	5	
YJL046W		.72	1.52	1.09	.88	1.64	1.05	
YJL047C		.99	1.33	.93	.83	1.12	1.15	
YJL048C		.72	1.89	1.02	.71	2.27	1.92	
YJL049W		.93	1.14	1	.86	1.35	1.16	
YJL050W		.92	.91	.56	.6	.44	.35	
YJL051W		1.14	1.33	.98	1.04	1.25	1.01	
YJL052W	TDH1	1.19	1.72	1.35	1.37	1.23	.65	
YJL053W	PEP8	1.02	1.49	1.05	.98	1.64	1.41	
YJL054W		.85	.95	.85	1.18	1.08	.78	
YJL055W		1.11	1.45	1.22	1.37	2.38	1.27	
YJL056C		.81	.58	.52	1.27	.82	.67	
YJL057C		.8	.99	.81	1.02	1.52	1.05	
YJL058C		1.06	1.05	.91	1.33	1.2	.79	
YJL059W		1.12	1.79	1.35	1.28	1.75	1.64	
YJL060W		1.12	1.35	1.04	1.25	1.32	.88	
YJL061W	NUP82	1.19	1.23	.95	1.03	1.09	.66	
YJL062W		1.18	1.47	1.18	1.1	1.18	.79	
YJL063C	MRPL8	.88	1.23	.85	.9	1.22	.98	
YJL064W		.97	1.08	1.01	.85	1.25	.93	
YJL065C		.97	.94	.79	.87	1.19	.98	
YJL066C		1.05	.96	1.02	.93	1.69	1.54	
YJL067W		.93	.88	.93	1.09	3.7	3.33	
YJL068C		1.03	1.41	1.27	1.2	1.96	1.79	
YJL069C		1.12	1.12	.54	.57	.43	.46	
YJL070C		1.02	1.03	.93	.93	.89	.88	
YJL071W		1.14	1.08	.73	.63	.88	.87	
YJL072C		.87	1.16	.83	.83	1.35	1.54	
YJL073W		.99	.98	.72	.75	.63	.65	
YJL074C		1.12	1.33	.88	1.37	.93	.53	
YJL075C		1.05	1.22	.85	.99	.94	1.09	
YJL076W		1.12	1.03	.85	.84	.75	.49	
YJL077C		.96	1.14	.9	.94	1.06	1.25	
YJL078C		1.32	1.49	1.04	.87	.88	.6	
YJL079C		1.28	1.96	1.72	2.27	2.86	2.13	
YJL080C	SCP160	1.01	.85	.81	.76	.45	.28	
YJL081C	ACT3	1.2	1.45	.96	1.04	1.33	1.15	
YJL082W		1.08	.93	.84	.79	1.75	1.08	
YJL083W		.98	1.05	.63	.78	1.32	1.19	
YJL084C		.98	.89	.72	.78	1.3	1.04	
YJL085W		1.1	1.22	1.02	.99	.92	1.05	
YJL086C		.79	1.05	.82	.74	1.43	.85	
YJL087C	TRL1	.92	.95	.76	.83	.67	.65	
YJL088W	ARG3	.74	.76	.76	.69	.97	2.78	
YJL089W	SIP4	.79	.85	.88	.84	2.17	8.33	
YJL090C	DPB11	.79	.73	.68	.66	.84	.92	
YJL091C		1.06	1.32	1.22	1.28	1.2	1.01	
YJL092W	SRS2	.75	1.02	.95	.76	.56	.57	
YJL093C	TOK1	1.32	1.28	.98	1.03	.97	1.41	
YJL094C		.93	1.1	1.15	.84	1.35	1.39	
YJL095W	BCK1	.99	.85	.65	.69	.42	.75	
YJL096W		.82	1.41	1.11	.84	1.96	.97	
YJL097W		1.12	1.39	1.19	1.32	1.3	.85	
YJL098W		.76	.81	.93	.54	.3	1.11	
YJL099W	CSD3	1.1	1.1	.9	1.03	1.67	1.2	
YJL100W		.89	.88	1.1	.78	1.96	1.75	
YJL101C	GSH1	1.52	.93	.63	.7	1.1	.83	
YJL102W	MEF2	.77	.97	1.1	1.18	1.69	2.5	
YJL103C		1.02	.96	1.02	1.32	3.7	4.76	
YJL104W		1.18	1.14	1.05	1.18	1.69	.85	
YJL105W		.85	1.28	.87	.94	.93	1.16	
YJL106W	SME1	.88	.96	.79	.82	1.47	1.2	
YJL107C		.9	.8	.68	.72	.81	.93	
YJL108C		.88	.95	.85	.64	1.82	1.06	
YJL109C		1.02	.93	.44	.47	.11	.25	
YJL110C	GZF3	.71	.87	.83	.79	.78	.6	
YJL111W	CCT7	1.14	1.04	.8	.79	.34	.37	
YJL112W		.97	1.37	.99	.83	2.08	1.85	
YJL113W	TY4B	1.05	.93	.78	.65	.88	.85	
YJL114W	TY4A	.79	1	1.19	1.14	1.54	1.14	
YJL115W	ASF1	.87	.95	.71	.58	1.11	.68	
YJL116C	NCA3	.71	.95	.9	.93	1.3	1.18	
YJL117W	PHO86	1.3	1.27	.63	.72	.91	.54	
YJL118W		.83	.84	.78	.73	.69	.68	
YJL119C		.89	1.14	.81	.63	.97	.76	
YJL120W		.75	.84	.85	.83	.85	.61	
YJL121C	RPE1	1.23	1.85	.98	.98	1.12	.71	
YJL122W		.89	1.01	.5	.53	.31	.21	
YJL123C		.98	1.08	.86	.98	1.67	.99	
YJL124C		1.11	1.15	.88	1	1.28	.6	
YJL125C	GCD14	1.05	1.16	.51	.57	.4	.77	
YJL126W		.63	.93	.88	.72	1.1	.69	
YJL127C	SPT10	.71	.96	.82	.85	.88	.73	
YJL128C	PBS2	.81	.96	.88	.73	.88	.61	
YJL129C	TRK1	.85	1	.84	.9	.87	.78	
YJL130C	URA2	1.01	.85	.78	.86	.46	.67	
YJL131C		.7	1.52	1.01	1.3	1.85	1.59	
YJL132W		.72	.92	.96	1	1.37	1.28	
YJL133W	MRS3	1.06	1.3	.65	.66	.79	.77	
YJL134W		.78	1	.88	.81	.89	.53	
YJL135W		.81	1.18	.82	.6	1.06	1	
YJL136C	RPS25B	.94	1.27	.95	.72	.36	.19	
YJL137C	GLG2	1.06	1.2	1.04	.71	2.08	3.57	
YJL138C	TIF2	1.14	1.35	.92	.71	.38	.27	
YJL139C	YUR1	1.16	1.25	.93	.87	1.23	.84	
YJL140W	RPB4	.93	1.15	1.06	.96	1.37	.7	
YJL141C	YAK1	1.08	1.05	.87	.94	3.13	2.04	
YJL142C		.81	.95	.96	.88	2.33	1.41	
YJL143W	TIM17	1.15	1.52	1.09	1.16	1.06	.93	
YJL144W		.74	1.18	1.11	.93	4.35	2.17	
YJL145W		1.05	1.14	.85	.94	1.03	.93	
YJL146W	IDS2	.61	.74	.75	.71	.89	.56	
YJL147C		.92	.97	.75	.86	1.35	.86	
YJL148W		.87	1.12	.59	.63	.41	.19	
YJL149W		.99	1.23	.74	.72	1.52	1.25	
YJL150W		.53	.78	.65	.8	.85	.56	
YJL151C		1.15	1.2	1.08	1.37	3.57	2.44	
YJL152W		.76	1.06	.8	1.23	2.08	.96	
YJL153C	INO1	.92	1.25	.88	.72	2.17	2.04	
YJL154C	VPS35	.83	.87	.75	.93	.76	.41	
YJL155C	FBP26	1.05	1.39	1.19	1.37	2.78	2.63	
YJL156C		.74	.97	.78	.79	1.08	.93	
YJL157C	FAR1	1.04	.95	.94	.99	.42	.35	
YJL158C		.91	1.14	1.05	.93	.6	.35	
YJL159W		1.14	1.18	1	1.01	1.45	1.56	
YJL160C		.78	.88	.94	.83	.74	.41	
YJL161W		.9	1.05	1.16	1.11	3.85	3.7	
YJL162C		.74	1.3	.76	.65	1.3	.76	
YJL163C		1.01	1.09	1.18	1.05	2.08	3.33	
YJL164C	TPK1	.68	1.16	2.08	1.16	3.33	2.22	
YJL165C	HAL5	1.04	1.22	.92	.91	1.67	1.49	
YJL166W	QCR8	.83	1.14	1.3	1.35	3.33	1.92	
YJL167W	FPP1	1.3	1.59	1.1	.98	1.16	.85	
YJL168C		1	.96	.84	.78	.89	.47	
YJL169W		.99	1.18	.97	.69	.99	.75	
YJL170C		.58	.94	.98	.93	3.03	1.43	
YJL171C		1.2	1.49	1.79	1.75	2.38	.99	
YJL172W	CPS1	.7	1.23	1.15	1.39	1.49	1.41	
YJL173C	RFA3	.83	.89	.79	.68	.76	.52	
YJL174W	KRE9	.81	.88	.6	.72	.8	1.54	
YJL175W		.87	.8	.79	.86	1.2	.88	
YJL176C	SWI3	.77	.91	.63	.62	1.41	1.33	
YJL177W	RPL20B	1.1	1.1	.75	.65	.26	.19	
YJL178C		.85	1.02	.64	.74	.88	1.33	
YJL179W		1.03	1.11	.88	.85	1.02	.83	
YJL180C	ATP12	.79	.88	.72	.88	1.22	1.43	
YJL181W		.85	.71	.74	.78	1.14	.76	
YJL182C		1.67	.67	.65	.61	1.1	.69	
YJL183W		1.16	1.12	.91	.84	.47	.34	
YJL184W		1.22	1.02	.85	.83	1.39	.82	
YJL185C		.95	1.12	1.11	.88	1.64	2.7	
YJL186W		1.18	1.02	.95	.83	.66	.65	
YJL187C	SWE1	.98	1.19	.96	.74	.87	.76	
YJL188C		1.25	1.05	1	.87	.45	.27	
YJL189W	RPL46	.68	.78	.67	.78	.32	.24	
YJL190C	RPS24A	.88	1.27	1.06	.94	.36	.2	
YJL191W	CRY2	.95	1.27	.81	.85	.53	.28	
YJL192C		.77	1.05	1.01	.93	.67	.37	
YJL193W		.92	1.1	.79	.83	.82	.49	
YJL194W	CDC6	.62	.44	.38	.4	.4	.27	
YJL195C		.88	.5	.45	.46	.51	.61	
YJL196C		.85	1.23	1.09	1.33	.79	.41	
YJL197W	UBP12	1.14	.92	.89	.88	.93	.52	
YJL198W		.98	.93	.56	.53	.51	.36	
YJL199C		.91	1.2	.96	1	1.18	1.08	
YJL200C		1.01	1.01	.68	.62	.85	.48	
YJL201W		1.01	1.08	.93	.9	1.19	.96	
YJL202C		.83	.9	.77	.86	.71	.57	
YJL203W	PRP21	.85	.88	.75	.9	.78	.73	
YJL204C		.72	.99	.76	.91	1	.49	
YJL206C		1.04	1.14	.92	1.12	1.39	1.27	
YJL206C-A	NCE1	.7	1.67	.69	.68	.87	.91	
YJL207C		1.02	.9	.83	.64	.83	.83	
YJL208C	NUC1	.92	1.49	.95	.68	1.18	.63	
YJL209W	CBP1	.96	.8	.74	.68	.99	.66	
YJL210W	PAS5	.87	1.52	1.23	1.01	1.39	1.16	
YJL211C		1.11	1.12	1.2	1.09	1.43	1.45	
YJL212C		1.18	1.59	.74	.63	.94	.53	
YJL213W		1.05	1.1	.93	.81	.93	.81	
YJL214W	HXT8	1.1	1.23	1.41	1	1.27	1.14	
YJL215C		.91	.87	.78	.68	.93	.89	
YJL216C		.72	1.04	.78	.68	1.96	.98	
YJL217W		1	.79	.59	.86	1.96	.66	
YJL218W		.52	.83	.75	1.11	1.47	.8	
YJL219W	HXT9	.93	.96	.96	.93	1.64	1.22	
YJL220W		.75	.82	.73	1.28	.69	.65	
YJL221C	FSP2	.96	.8	.69	.93	2.27	1.64	
YJL222W		.88	.93	.94	1.23	.83	.67	
YJL223C	PAU1	1.05	.97	.78	.87	.97	.83	
YJL225C		.89	.79	.83	.79	.51	.56	
YJR001W		1.39	1.64	1.23	1.22	1.06	.74	
YJR002W		.85	.87	.76	1.02	.65	.63	
YJR003C		.88	.9	.63	.59	.34	.41	
YJR004C	SAG1	.88	1.3	.8	1.33	1.05	1.01	
YJR005W	YAP80	.93	.83	.81	.91	1.54	1.15	
YJR006W	HUS2	.45	1.11	.83	.79	1.52	.93	
YJR007W	SUI2	1.23	1.08	.56	.57	.52	.34	
YJR008W		.76	1.25	.93	.53	2.94	2.5	
YJR009C	TDH2	1.05	1.18	1.01	1.14	1.02	.69	
YJR010C-A	SPC1	.87	.95	.9	.82	1.2	.71	
YJR010W	MET3	1.04	1.11	.78	.7	.78	.68	
YJR011C		.68	1.11	1.01	.7	1.72	1	
YJR012C		.8	.92	.72	.99	1.16	1.14	
YJR013W		.95	1.11	.93	.88	.93	.75	
YJR014W		.91	1.02	.77	.92	1.47	.93	
YJR015W		1.14	1.47	1.15	.72	1.25	.82	
YJR016C	ILV3	1.39	1.11	.67	.68	.34	.4	
YJR017C	PTF1	.63	.96	.64	.93	1.25	.83	
YJR018W		.79	.88	.76	.81	.98	.89	
YJR019C		.95	1.3	.94	1.45	2.27	1.85	
YJR020W		.96	.94	.88	1.2	2.33	1.85	
YJR021C	MER2	.55	1.18	.76	1.49	2	1.28	
YJR022W		.89	.9	.8	.9	1.59	1.08	
YJR023C		.79	.93	.81	1.33	.84	.79	
YJR024C		1.04	.96	.71	.85	.6	.43	
YJR025C		1.1	.95	.85	1.25	.64	.58	
YJR026W	TY1A	1.09	.99	.86	.87	.78	.65	
YJR027W	TY1B	1.08	.99	.96	.98	.68	.53	
YJR028W	TY1A	1.06	.93	.78	1	.93	.64	
YJR029W	TY1B	1.2	1.03	.93	.76	.53	.66	
YJR030C		1.02	.95	.76	.8	.66	.72	
YJR031C		1.08	1.03	1.01	.8	.74	.67	
YJR032W		.93	1.15	.81	.83	.55	.55	
YJR033C		.95	.97	.92	.87	1.01	.93	
YJR034W	PET191	1.05	1.19	1.19	1.43	3.45	1.79	
YJR035W	RAD26	.91	1.11	.94	.95	1.23	.82	
YJR036C		.78	.9	.92	.9	1.89	1.67	
YJR037W		.88	1.04	.93	1.04	1	1.05	
YJR038C		.97	.88	.83	1.3	1.56	1.37	
YJR039W		.88	.83	.87	.76	2.08	1.72	
YJR040W	GEF1	1.11	1	.7	.88	.34	.59	
YJR041C		.67	.82	.53	.51	.25	.25	
YJR042W	NUP85	.97	.94	.78	.74	.63	.71	
YJR043C		.75	.9	.8	.79	.78	.37	
YJR044C		1.19	1.49	1.39	1.56	1.47	1.32	
YJR045C	SSC1	1.16	.86	.99	1.03	1.61	1.33	
YJR046W		1.12	.85	.66	.73	.82	1.47	
YJR047C	ANB1	.98	.93	.72	.72	.57	.36	
YJR048W	CYC1	.86	.99	.93	1.25	2.27	3.33	
YJR049C	UTR1	.89	.95	.85	.77	.9	.95	
YJR050W	UTR3	.92	1.04	.88	1.06	2.5	1.67	
YJR051W	OSM1	.91	1.45	1.2	1.41	2.33	1.59	
YJR052W	RAD7	.84	.89	.74	.95	1.32	1.11	
YJR053W		.58	.71	.71	.76	.68	.53	
YJR054W		.92	.78	.71	.58	.47	.38	
YJR055W	HIT1	.75	1.05	.81	.76	.93	.75	
YJR056C		.93	1.05	.88	.69	1.69	1.33	
YJR057W	CDC8	.69	.88	1.06	.91	.83	.54	
YJR058C	YAP17	.88	1.19	.98	.93	1.22	.98	
YJR059W		.74	.84	1.18	1.05	2.04	.97	
YJR060W	CPF1	.95	.97	.83	.78	.68	.7	
YJR061W		.76	.95	1.09	.96	.93	.93	
YJR062C	NTA1	1	1.06	1.1	.95	1.43	1.32	
YJR063W	RPA12	.78	.93	.69	.56	.48	.24	
YJR064W	CCT5	1.08	1.11	.92	.8	.65	.37	
YJR065C	ACT4	.85	.85	.7	.83	1.06	.61	
YJR066W	TOR1	.89	.89	.88	1.11	.9	1.06	
YJR067C		.79	1.08	.88	.89	1.02	.71	
YJR068W	RFC2	1.28	1.35	.93	1.41	1.54	.91	
YJR069C	HAM1	.79	.83	.81	.74	.56	.36	
YJR070C		1.19	1.3	.62	.96	.64	.39	
YJR071W		.83	.74	.63	.6	.28	.21	
YJR072C		1.19	1.39	.75	1.18	1.43	.96	
YJR073C	PEM2	1.03	1.64	1.96	2.5	4.55	3.23	
YJR074W		.97	1.15	.85	1.25	1.3	1.02	
YJR075W		.98	.97	.88	.96	.75	.47	
YJR076C	CDC11	.85	.88	.78	.88	.74	.53	
YJR077C	MIR1	.81	1.23	1.28	1.49	1.45	2.04	
YJR078W		.68	.72	.77	.74	1.41	1.72	
YJR079W		.72	.93	1.15	1.18	2.5	1.61	
YJR080C		1.01	1.28	1.14	.73	2.5	2.13	
YJR082C		.75	.93	.93	.96	1.45	1	
YJR083C		1.02	1.28	1.02	.72	2	1.16	
YJR084W		.66	1.25	.97	.85	1.72	1.15	
YJR085C		1.12	1.67	1.64	1.49	2.13	1.82	
YJR086W	STE18	.91	1.01	.96	.87	.97	.63	
YJR087W		1.11	1.47	1.12	1.03	1.35	.87	
YJR088C		.85	1.28	.94	.82	1.35	.69	
YJR089W		.91	.9	.79	.65	1.1	.83	
YJR090C	GRR1	.71	.71	.66	.64	.73	.77	
YJR091C	JSN1	1.2	.85	.74	.7	1.25	1.2	
YJR092W	BUD4	.83	.93	.81	.81	.75	.43	
YJR093C	FIP1	.98	1.09	.75	.69	1.47	1.18	
YJR094C	IME1	.68	.92	.64	.62	1.28	.77	
YJR095W	ACR1	.72	2.13	.92	.88	2.56	12.5	
YJR096W		1.16	1.15	1.27	1.92	7.14	2.7	
YJR097W		.9	1.02	.73	.72	1.25	1.33	
YJR098C		.64	.94	.69	.67	1.3	1.08	
YJR099W	YUH1	1.01	1.28	1.15	1.2	1.85	1.25	
YJR100C		.79	.98	.92	1.06	1.72	1.54	
YJR101W		.95	.84	.98	1.09	.9	.76	
YJR102C		.61	1.03	.92	.75	1.47	.86	
YJR103W	URA8	1.1	1.14	.86	.84	1.27	1.41	
YJR104C	SOD1	1.01	1.32	1.43	1.2	3.03	1.52	
YJR105W		1.43	2.17	1.16	.96	.6	.48	
YJR106W		.88	1.27	1.12	.81	1.41	1.35	
YJR107W		1.09	1.61	.96	.68	1.56	1.37	
YJR108W		1.12	.9	.78	.74	1.61	1.19	
YJR109C	CPA2	1.08	.68	.56	.66	.51	1.23	
YJR110W		1.72	1.28	1.08	.86	1.92	1.37	
YJR111C		.98	.9	.57	.7	.86	.61	
YJR112W	NNF1	1.35	1.16	.96	.66	1.47	.79	
YJR113C		.69	.95	.78	.88	1.11	1.01	
YJR114W		.58	.98	.63	.86	1.23	1.69	
YJR115W		1.05	1.15	1.12	1.01	1.25	1.39	
YJR116W		.76	.94	.64	.66	.97	1.67	
YJR117W		1.3	1.52	1	.98	1.47	1.49	
YJR118C		1.15	1.27	.84	.97	1.11	1.43	
YJR119C		.99	.99	1.02	.91	1.52	1.27	
YJR120W		1.05	.85	.75	.65	.92	.67	
YJR121W	ATP2	1.03	1.2	1.3	1.49	2.44	4.35	
YJR122W		.88	1.15	.85	.83	1.27	1.35	
YJR123W	RPS5	1.06	1.12	.77	.75	.28	.18	
YJR124C		.93	1.3	.71	.61	.82	.48	
YJR125C		.91	.87	1.1	1.12	2.44	1.3	
YJR126C		1.39	.91	.89	.74	.76	.75	
YJR127C	ZMS1	1.06	1.08	1.18	.99	1.69	1.85	
YJR128W		1.39	1.79	.78	.65	1.2	.86	
YJR129C		.88	1.61	.87	.63	1.39	1.16	
YJR130C		.73	1.23	1.11	1.18	2.08	1.45	
YJR131W	MNS1	1.2	1.35	1.05	.88	1.59	1.28	
YJR132W	NMD5	1.08	1.47	.83	.72	.88	.53	
YJR133W		1.05	1.18	.85	.77	1.52	1.01	
YJR134C		.88	1.79	.89	.88	1.35	.81	
YJR135C		.88	1.25	.95	.66	1.52	1.45	
YJR136C		.65	1.33	.88	.51	1.23	.76	
YJR137C		.95	.78	.67	.7	.85	.83	
YJR138W		.54	.78	.69	.78	.94	.69	
YJR139C	HOM6	1.06	1.39	1.28	1.33	1.01	.56	
YJR140C		.88	.88	.79	.85	.77	.57	
YJR141W		.86	1.02	.81	.83	.91	.69	
YJR142W		.75	.93	.91	.9	1.64	.7	
YJR143C	PMT4	1.27	1.45	1.05	1.2	.64	.43	
YJR144W	MGM101	1.01	.98	.87	1.09	1.41	1.06	
YJR145C	RPS7B	1.04	.84	.68	.75	.34	.16	
YJR146W		.88	1.08	.68	.81	1.08	1.18	
YJR147W		.96	.83	.49	.59	.57	.73	
YJR148W	TWT2	1.06	.85	.78	1.05	1.45	1.23	
YJR149W		.7	.63	.56	.56	.99	1.49	
YJR150C		1	1.49	.97	.86	.9	.65	
YJR151C		.99	.94	.93	.85	.87	.96	
YJR152W	DAL5	.88	1.67	.81	.78	1.41	1.11	
YJR153W		1.04	1.27	.8	.68	1.25	1.12	
YJR154W		1.02	.97	.97	.71	1.37	.91	
YJR155W		.99	.87	.78	.76	2.86	2.7	
YJR156C		.78	1	.85	.67	1.89	1.45	
YJR157W		.81	.81	.76	.57	1.08	1.11	
YJR158W	HXT16	.95	1.23	.92	.78	1.96	1.41	
YJR159W	SOR1	1.19	.94	.86	.81	1.35	1.08	
YJR160C		1.01	.96	.87	.88	.81	.81	
YJR161C		1.27	1.56	1.56	1.59	2.13	1.61	
YJR162C		.72	.79	.74	1.32	.64	.97	
YKL001C	MET14	1.03	.93	.84	.92	.87	.85	
YKL002W		.84	.95	.88	1.28	2.38	1.06	
YKL003C	MRP17	.83	1	1.05	1.12	2.13	1.15	
YKL004W	AUR1	.97	1.11	.78	.69	.57	.56	
YKL005C		1.19	1.27	1.02	.94	1.45	1.49	
YKL006BC		.87	.96	.97	1.43	1.16	.56	
YKL006W	RPL14A	1.04	1.11	.96	.83	.48	.23	
YKL007W	CAP1	.99	1	1.18	1.52	1.59	.88	
YKL008C		1.11	1.27	1.25	1.2	.82	.66	
YKL009W		.74	.93	.58	.47	.24	.17	
YKL010C	SOS1	.93	.83	.75	.89	.9	.95	
YKL011C	CCE1	.84	1.35	1.05	.95	1.2	.73	
YKL012W	PRP40	1.09	1.2	1.02	1	1.54	1.23	
YKL013C		.95	1.04	1.14	1.09	1.75	.76	
YKL014C		1.14	.98	.88	.8	.94	.87	
YKL015W	PUT3	.94	.82	.81	.76	.76	.46	
YKL016C	ATP7	.79	.84	.87	1.05	2.7	2.33	
YKL017C		.83	.91	.81	.69	1.22	.61	
YKL018W		1.03	1.22	.83	.63	.67	.73	
YKL019W	RAM2	1.06	1	.9	.78	1.28	1.1	
YKL020C	SPT23	.78	.61	.53	.53	.73	.88	
YKL021C	MAK11	1.01	1.04	.68	.6	.76	.76	
YKL022C	CDC16	1.09	1.15	.92	.87	.82	1.04	
YKL023W		.95	1.22	.94	.86	2.27	1.33	
YKL024C	URA6	.8	.76	.58	.78	.84	.52	
YKL025C		1.09	.84	.75	.7	1.18	.82	
