# The data in this file were provided by Tyrell Conway's laboratory at
# OUMCF.  Samples were collected during a classic glucose-lactose
# diauxie experiment.  E. coli cells were grown in minimal medium
# containing 0.05% glucose and 0.15% lactose.  The dataset can be
# approximately divided into growth phases as follows:
# Timepoints 1-5 show logarithmic growth on glucose; time points 6-10
# reflect the diauxic lag phase, when cells shift from growth on
# glucose to growth on lactose; time points 11-14 reflect logarithmic
# growth on lactose; and time points 15-17 were taken during
# stationary phase.  Control values were obtained by averaging data
# from 12 hybridization experiments using samples from the early
# logarithmic growth phase.  A publication describing the results is
# available: Chang et al., Mol Microbiol. 2002 Jul;45(2):289-306.  See
# also http://www.ou.edu/microarray/oumcf/growth_trans.htm.
#
#BNUM	GENE	Timept 1	Timept 2	Timept 3	Timept 4	Timept 5	Timept 6	Timept 7	Timept 8	Timept 9	Timept 10	Timept 11	Timept 12	Timept 13	Timept 14	Timept 15	Timept 16	Timept 17
b0040	caiT	-0.005670701	0.16185439	0.022371284	0.436708198	-0.519703932	0.077297213	0.195091418	0.033891238	0.191089803	-0.696354148	-0.366973318	-0.936821118	-0.517602897	-0.87021906	-0.611300737	-0.836561936	-0.290724868
b0041	fixA	-0.389634868	-0.153525985	0.19166747	0.120576541	-0.18254673	0.113753805	0.079405512	-0.059588744	0.198444041	0.174215127	-0.223268385	-0.341415937	-0.474763315	-0.225398762	-0.109953888	-0.147390676	-0.551462572
b0042	fixB	-0.145658626	-0.101618946	-0.046282543	-0.196814251	-0.105057749	-0.134730975	-0.317902578	-0.500691981	-0.301000348	-0.215064097	0.115595067	-0.093597668	-0.174249094	-0.000232653	-0.669830894	-0.479355643	-0.713727008
b0043	fixC	-0.045402077	-0.09114608	0.023477235	-0.115715643	-0.01733084	0.002978421	0.184606461	0.248416634	-0.084690025	0.109346031	0.193461494	0.166588717	-0.11065507	0.011418004	-0.08043535	0.134093966	-0.069257133
b0044	fixX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0045	yaaU	0.351395283	0.217182662	-0.047695798	0.405107653	0.270286677	0.178771875	0.211260825	0.19440393	0.325225451	-0.396834273	-1.246677965	-1.149822117	-0.720571984	-1.250767802	-0.996207186	-0.762453172	-0.717656123
b0046	yabF	-0.366471145	0.184411707	0.343093623	0.70172553	0.504158532	0.427970258	0.524435882	0.494148734	0.371880286	0.208219365	-0.385222192	-0.375319749	-0.433709086	-0.435582861	0.036216337	-0.013167346	-0.240162781
b0047	kefC	-0.084226859	0.051341154	0.00170099	0.012319105	-0.113647933	-0.099777283	0.05794982	-0.234197356	-0.173948907	-0.078587804	-0.358993847	-0.528946089	-0.42191098	-0.369009107	-0.244059714	-0.256721851	-0.347189792
b0048	folA	-0.340120776	-0.180325274	0.039391008	0.202571705	0.382708467	1.253336016	1.518776458	0.506705344	0.777929641	0.644520434	0.079641361	-0.153572517	-0.265375674	-0.345103101	0.197858263	0.196121396	0.081237288
b0049	apaH	-0.060481894	0.298759764	0.090264625	0.192158885	-0.166556131	0.008165412	0.261443468	0.622493595	0.350675144	-0.336742999	0.00683608	0.194024225	0.233027911	0.589443593	0.218484164	-0.623783587	0.334494507
b0050	apaG	-0.427401228	-0.10852582	0.2760215	0.440074706	-0.198072912	0.159285463	0.449594131	0.150685603	0.213390415	0.314223457	0.451035722	-0.274202126	-0.108380931	-0.294578025	0.170791579	0.487016498	0.397110051
b0051	ksgA	-0.278188101	-0.062185612	0.397894341	0.240317941	-0.217664576	-0.328953953	-0.321914373	-0.071306612	-0.377750777	-0.335067667	0.280148594	-0.590452143	-0.024547377	-0.521843751	-0.467392502	0.003363297	0.016908927
