GB_GI	GB_accession	Clone_name
3700208	AQ250125.1	T30N20
3700225	AQ250142.1	T12J18
3700229	AQ250146.1	T1K11
3700231	AQ250148.1	T22C18
3700234	AQ250151.1	T22H22
3700236	AQ250153.1	T2M2
3700241	AQ250158.1	T9P10
3700260	AQ250177.1	T1G14
3700269	AQ250186.1	T3G5
3700270	AQ250187.1	T4J6
3700282	AQ250199.1	T19I24
3700285	AQ250202.1	T19M4
3700289	AQ250206.1	T5D6
3700300	AQ250217.1	T9C24
3703110	AQ251593.1	T9L12
3703159	AQ250319.1	T31A21
3703162	AQ250322.1	T3P14
3703174	AQ250334.1	T8P10
3703191	AQ251449.1	T19E16
3703192	AQ251450.1	T21D3
3703208	AQ251466.1	T15F17
3703211	AQ251469.1	T20G3
3703219	AQ251477.1	T22H16
3703224	AQ251482.1	T22K5
3703231	AQ251489.1	T22P5
3703236	AQ251494.1	T12F11
3703241	AQ251499.1	T14D9
3703250	AQ251508.1	T5J18
3703253	AQ251511.1	T2H14
3703274	AQ251532.1	T3E23
3703300	AQ251558.1	T4I5
3703311	AQ251569.1	T1A19
3703312	AQ251570.1	T1A2
3703321	AQ251579.1	T1G5
3703323	AQ251581.1	T1H5
3703330	AQ251588.1	T1M19
3703341	AQ250227.1	T2H14
3703353	AQ250239.1	T2P21
3703355	AQ250241.1	T3D10
3703374	AQ250260.1	T1H6
3703378	AQ250264.1	T1M11
3703392	AQ250278.1	T6J3
3703403	AQ250289.1	T7P14
3703412	AQ250298.1	T8G5
3703443	AQ250377.1	T3J19
3703444	AQ250378.1	T3J22
3703464	AQ250398.1	T4I5
3703473	AQ250407.1	T6E14
3703480	AQ250414.1	T6G5
3703491	AQ250425.1	T7D21
3703504	AQ250438.1	T5F10
3703508	AQ250442.1	T5J4
3703529	AQ250463.1	T6F3
3703536	AQ250470.1	T6L7
3703544	AQ250478.1	T6P20
3703556	AQ250490.1	T7K5
3703564	AQ250498.1	T7P9
3703566	AQ250500.1	T8A9
3703605	AQ250539.1	T10O2
3703644	AQ250578.1	T12H12
3703653	AQ250587.1	T12I6
3703661	AQ250595.1	T12K5
3703665	AQ250599.1	T12N12
3703676	AQ250610.1	T8I2
3703704	AQ250638.1	T9B8
3703757	AQ250691.1	T13B3
3703777	AQ250711.1	T14I19
3703786	AQ250720.1	T12P12
3703817	AQ250751.1	T15B4
3703834	AQ250768.1	T16A17
3703846	AQ250780.1	T17C9
3703858	AQ250792.1	T18O17
3703861	AQ250795.1	T19F14
3703889	AQ250823.1	T15M17
3703906	AQ250840.1	T17C9
3703919	AQ250853.1	T18O17
3703987	AQ250921.1	T24E17
3704008	AQ250942.1	T23E15
3704019	AQ250953.1	T24E17
3704057	AQ250991.1	T27D24
3704075	AQ251009.1	T28A18
3704131	AQ251065.1	F14M7
3704154	AQ251088.1	F18F16
3704171	AQ251105.1	F19H17
3704173	AQ251107.1	F1G6
3704246	AQ251180.1	F1K14
3704260	AQ251194.1	T32O9
3704261	AQ251195.1	T32P4
3704330	AQ251264.1	F19L16
3704356	AQ251290.1	T29N20
3704360	AQ251294.1	T30G21
3704362	AQ251296.1	T30I10
3704371	AQ251305.1	T31A6
3704379	AQ251313.1	T31M11
3704385	AQ251319.1	T30I10
3704395	AQ251329.1	T31B11
5282647	AL081507.1	F3C9
5283105	AL081965.1	F3P24
5283378	AL082238.1	F4H22
5283486	AL082346.1	F4K23
5283652	AL082512.1	F5A7
5283676	AL082536.1	F5B3
5283677	AL082537.1	F5B3
5283695	AL082555.1	F5B14
5284095	AL082955.1	F5N19
5284497	AL083357.1	F6M1
5284498	AL083358.1	F6M1
5285366	AL084226.1	F8G20
5286446	AL085306.1	F10I4
5287977	AL086837.1	F13F19
5289161	AL088021.1	T1C18
5289162	AL088022.1	T1C18
5289228	AL088088.1	T1E16
5289229	AL088089.1	T1E16
5289336	AL088196.1	T1I4
5289347	AL088207.1	T1I13
5289348	AL088208.1	T1I13
5289366	AL088226.1	T1J2
5289367	AL088227.1	T1J2
5289369	AL088229.1	T1J3
5289416	AL088276.1	T1K9
5289417	AL088277.1	T1K9
5289432	AL088292.1	T1K22
5289469	AL088329.1	T1M1
5289470	AL088330.1	T1M1
5289515	AL088375.1	T1N9
5289516	AL088376.1	T1N9
5289536	AL088396.1	T1O1
5289537	AL088397.1	T1O1
5289572	AL088432.1	T1P7
5289573	AL088433.1	T1P7
5289626	AL088486.1	T2A18
5289627	AL088487.1	T2A18
5289628	AL088488.1	T2A19
5289629	AL088489.1	T2A19
5289677	AL088537.1	T2C12
5289695	AL088555.1	T2C23
5289696	AL088556.1	T2C23
5289721	AL088581.1	T2D18
5289722	AL088582.1	T2D18
5289774	AL088634.1	T2F18
5289775	AL088635.1	T2F18
5289818	AL088678.1	T2H1
5289819	AL088679.1	T2H1
5289834	AL088694.1	T2H14
5289837	AL088697.1	T2H17
5289838	AL088698.1	T2H17
5289877	AL088737.1	T2I21
5289878	AL088738.1	T2I21
5289897	AL088757.1	T2J12
5289898	AL088758.1	T2J12
5289982	AL088842.1	T2L23
5289983	AL088843.1	T2L23
5289984	AL088844.1	T2L24
5289985	AL088845.1	T2L24
5290081	AL088941.1	T2O20
5290082	AL088942.1	T2O20
5290098	AL088958.1	T2P8
5290099	AL088959.1	T2P8
5290106	AL088966.1	T2P18
5290107	AL088967.1	T2P18
5290110	AL088970.1	T2P22
5290112	AL088972.1	T2P23
5290158	AL089018.1	T3B8
5290159	AL089019.1	T3B8
5290160	AL089020.1	T3B9
5290161	AL089021.1	T3B9
5290171	AL089031.1	T3B19
5290205	AL089065.1	T3C18
5290206	AL089066.1	T3C18
5290214	AL089074.1	T3C22
5290236	AL089096.1	T3D15
5290258	AL089118.1	T3E7
5290259	AL089119.1	T3E9
5290275	AL089135.1	T3E18
5290276	AL089136.1	T3E18
5290283	AL089143.1	T3E23
5290329	AL089189.1	T3G8
5290335	AL089195.1	T3G11
5290336	AL089196.1	T3G11
5290442	AL089302.1	T3J23
5290443	AL089303.1	T3J23
5290536	AL089396.1	T3N3
5290537	AL089397.1	T3N3
5290544	AL089404.1	T3N12
5290599	AL089459.1	T3P9
5290600	AL089460.1	T3P9
5290635	AL089495.1	T4A8
5290636	AL089496.1	T4A8
5290647	AL089507.1	T4A22
5290648	AL089508.1	T4A22
5290663	AL089523.1	T4B10
5290664	AL089524.1	T4B10
5290753	AL089613.1	T4F2
5290780	AL089640.1	T4F20
5290781	AL089641.1	T4F20
5290862	AL089722.1	T4I5
5290863	AL089723.1	T4I5
5290878	AL089738.1	T4I13
5290879	AL089739.1	T4I13
5290906	AL089766.1	T4J11
5290957	AL089817.1	T4K21
5290958	AL089818.1	T4K21
5290992	AL089852.1	T4L18
5290993	AL089853.1	T4L18
5291233	AL090093.1	T5C19
5291234	AL090094.1	T5C19
5291283	AL090143.1	T5E20
5291284	AL090144.1	T5E20
5291317	AL090177.1	T5F18
5291318	AL090178.1	T5F18
5291343	AL090203.1	T5G22
5291344	AL090204.1	T5G24
5291345	AL090205.1	T5G24
5291393	AL090253.1	T5I17
5291421	AL090281.1	T5J16
5291422	AL090282.1	T5J16
5291600	AL090460.1	T5P10
5291629	AL090489.1	T6A15
5291630	AL090490.1	T6A15
5291639	AL090499.1	T6A22
5291640	AL090500.1	T6A22
5291667	AL090527.1	T6C1
5291668	AL090528.1	T6C1
5291696	AL090556.1	T6C22
5291697	AL090557.1	T6C22
5291747	AL090607.1	T6E10
5291748	AL090608.1	T6E10
5291825	AL090685.1	T6G19
5291826	AL090686.1	T6G19
5291830	AL090690.1	T6G22
5291849	AL090709.1	T6H12
5291850	AL090710.1	T6H12
5291922	AL090782.1	T6J16
5291923	AL090783.1	T6J16
5291936	AL090796.1	T6K3
5291937	AL090797.1	T6K3
5292051	AL090911.1	T6N17
5292052	AL090912.1	T6N17
5292062	AL090922.1	T6N23
5292063	AL090923.1	T6N23
5292096	AL090956.1	T6O20
5292097	AL090957.1	T6O20
5292102	AL090962.1	T6P3
5292138	AL090998.1	T7A2
5292139	AL090999.1	T7A2
5292176	AL091022.1	T7A18
5292177	AL091023.1	T7A18
5292178	AL091024.1	T7A19
5292179	AL091025.1	T7A19
5292192	AL091038.1	T7B8
5292239	AL091085.1	T7C21
5292240	AL091086.1	T7C21
5292250	AL091096.1	T7D2
5292269	AL091115.1	T7D15
5292270	AL091116.1	T7D15
5292313	AL091159.1	T7E23
5292314	AL091160.1	T7E23
5292321	AL091167.1	T7F8
5292322	AL091168.1	T7F8
5292325	AL091171.1	T7F10
5292326	AL091172.1	T7F10
5292327	AL091173.1	T7F12
5292328	AL091174.1	T7F12
5292331	AL091177.1	T7F15
5292332	AL091178.1	T7F15
5292358	AL091204.1	T7G14
5292359	AL091205.1	T7G14
5292365	AL091211.1	T7G18
5292366	AL091212.1	T7G18
5292388	AL091234.1	T7H14
5292397	AL091243.1	T7H23
5292398	AL091244.1	T7H23
5292418	AL091264.1	T7I17
5292425	AL091271.1	T7J1
5292426	AL091272.1	T7J1
5292443	AL091289.1	T7J18
5292444	AL091290.1	T7J18
5292459	AL091305.1	T7K6
5292460	AL091306.1	T7K6
5292461	AL091307.1	T7K8
5292462	AL091308.1	T7K8
5292491	AL091337.1	T7L12
5292492	AL091338.1	T7L12
5292551	AL091397.1	T7N21
5292552	AL091398.1	T7N21
5292588	AL091434.1	T7O22
5292589	AL091435.1	T7O22
5292599	AL091445.1	T7P5
5292657	AL091503.1	T8A24
5292703	AL091549.1	T8C11
5292708	AL091554.1	T8C14
5292827	AL091673.1	T8G21
5292828	AL091674.1	T8G21
5292866	AL091712.1	T8I1
5292867	AL091713.1	T8I1
5292907	AL091753.1	T8J3
5292908	AL091754.1	T8J3
5292911	AL091757.1	T8J6
5292912	AL091758.1	T8J6
5292923	AL091769.1	T8J14
5292933	AL091779.1	T8J20
5292934	AL091780.1	T8J20
5292959	AL091805.1	T8K17
5293083	AL091929.1	T8O6
5293087	AL091933.1	T8O14
5293088	AL091934.1	T8O14
5293161	AL092007.1	T9A19
5293162	AL092008.1	T9A19
5293195	AL092041.1	T9B15
5293196	AL092042.1	T9B15
5293220	AL092066.1	T9C7
5293221	AL092067.1	T9C7
5293257	AL092103.1	T9D13
5293258	AL092104.1	T9D14
5293259	AL092105.1	T9D14
5293278	AL092124.1	T9E7
5293279	AL092125.1	T9E7
5293286	AL092132.1	T9E14
5293287	AL092133.1	T9E14
5293296	AL092142.1	T9E23
5293297	AL092143.1	T9E23
5293300	AL092146.1	T9F1
5293301	AL092147.1	T9F1
5293325	AL092171.1	T9F15
5293375	AL092221.1	T9H14
5293376	AL092222.1	T9H14
5293377	AL092223.1	T9H15
5293378	AL092224.1	T9H15
5293379	AL092225.1	T9H16
5293380	AL092226.1	T9H16
5293390	AL092236.1	T9H23
5293403	AL092249.1	T9J8
5293404	AL092250.1	T9J8
5293407	AL092253.1	T9J11
5293408	AL092254.1	T9J11
5293425	AL092271.1	T9K5
5293445	AL092291.1	T9L12
5293472	AL092318.1	T9N1
5293473	AL092319.1	T9N1
5293484	AL092330.1	T9N9
5293512	AL092358.1	T9P1
5293513	AL092359.1	T9P1
5293525	AL092371.1	T9P10
5293526	AL092372.1	T9P10
5293560	AL092406.1	T10A11
5293618	AL092464.1	T10B19
5293619	AL092465.1	T10B19
5293681	AL092527.1	T10D6
5293682	AL092528.1	T10D7
5293699	AL092545.1	T10D18
5293700	AL092546.1	T10D18
5293734	AL092580.1	T10E13
5293882	AL092728.1	T10H22
5293883	AL092729.1	T10H22
5293974	AL092820.1	T10J22
5293975	AL092821.1	T10J22
5293977	AL092823.1	T10J23
5293988	AL092834.1	T10K6
5294035	AL092881.1	T10L13
5294036	AL092882.1	T10L13
5294076	AL092922.1	T10M11
5294077	AL092923.1	T10M11
5294078	AL092924.1	T10M12
5294079	AL092925.1	T10M12
5294108	AL092954.1	T10N4
5294128	AL092974.1	T10N14
5294129	AL092975.1	T10N14
5294182	AL093028.1	T10O20
5294183	AL093029.1	T10O20
5294193	AL093039.1	T10P2
5294194	AL093040.1	T10P2
5294272	AL093118.1	T11A18
5294273	AL093119.1	T11A18
5294353	AL093199.1	T11C15
5294358	AL093204.1	T11C18
5294359	AL093205.1	T11C18
5294386	AL093232.1	T11D11
5294390	AL093236.1	T11D13
5294391	AL093237.1	T11D13
5294394	AL093240.1	T11D15
5294395	AL093241.1	T11D15
5294438	AL093284.1	T11E13
5294448	AL093294.1	T11E18
5294449	AL093295.1	T11E18
5294480	AL093326.1	T11F10
5294496	AL093342.1	T11F18
5294497	AL093343.1	T11F18
5294524	AL093370.1	T11G10
5294525	AL093371.1	T11G11
5294527	AL093373.1	T11G12
5294528	AL093374.1	T11G12
5294539	AL093385.1	T11G18
5294540	AL093386.1	T11G18
5294584	AL093430.1	T11H19
5294585	AL093431.1	T11H19
5294586	AL093432.1	T11H20
5294587	AL093433.1	T11H20
5294588	AL093434.1	T11H21
5294589	AL093435.1	T11H21
5294651	AL093497.1	T11J5
5294652	AL093498.1	T11J5
5294663	AL093509.1	T11J12
5294670	AL093516.1	T11J16
5294671	AL093517.1	T11J16
5294688	AL093534.1	T11K3
5294702	AL093548.1	T11K11
5294703	AL093549.1	T11K11
5294732	AL093578.1	T11L3
5294733	AL093579.1	T11L3
5294744	AL093590.1	T11L9
5294745	AL093591.1	T11L9
5294771	AL093617.1	T11L24
5294772	AL093618.1	T11L24
5294793	AL093639.1	T11M12
5294794	AL093640.1	T11M12
5294795	AL093641.1	T11M13
5294796	AL093642.1	T11M13
5294799	AL093645.1	T11M15
5294800	AL093646.1	T11M15
5294856	AL093702.1	T11N21
5294857	AL093703.1	T11N21
5294900	AL093746.1	T11O19
5294901	AL093747.1	T11O19
5294904	AL093750.1	T11O21
5294905	AL093751.1	T11O21
5294957	AL093803.1	T12A2
5294958	AL093804.1	T12A2
5294965	AL093811.1	T12A9
5294966	AL093812.1	T12A9
5294971	AL093817.1	T12A15
5294976	AL093822.1	T12A18
5294977	AL093823.1	T12A18
5294985	AL093831.1	T12B1
5294986	AL093832.1	T12B1
5294991	AL093837.1	T12B4
5294994	AL093840.1	T12B7
5294995	AL093841.1	T12B7
5294996	AL093842.1	T12B8
5294997	AL093843.1	T12B8
5295029	AL093875.1	T12C9
5295030	AL093876.1	T12C9
5295031	AL093877.1	T12C12
5295032	AL093878.1	T12C12
5295048	AL093894.1	T12D2
5295049	AL093895.1	T12D2
5295058	AL093904.1	T12D12
5295078	AL093924.1	T12E3
5295079	AL093925.1	T12E3
5295082	AL093928.1	T12E6
5295083	AL093929.1	T12E6
5295094	AL093940.1	T12E16
5295095	AL093941.1	T12E16
5295100	AL093946.1	T12E19
5295101	AL093947.1	T12E19
5295121	AL093967.1	T12F7
5295122	AL093968.1	T12F7
5295127	AL093973.1	T12F12
5295128	AL093974.1	T12F12
5295134	AL093980.1	T12F17
5295135	AL093981.1	T12F17
5295156	AL094002.1	T12G7
5295157	AL094003.1	T12G7
5295162	AL094008.1	T12G12
5295163	AL094009.1	T12G12
5295164	AL094010.1	T12G14
5295165	AL094011.1	T12G14
5295166	AL094012.1	T12G15
5295167	AL094013.1	T12G15
5295170	AL094016.1	T12G17
5295196	AL094042.1	T12H15
5295197	AL094043.1	T12H15
5295222	AL094068.1	T12I18
5295223	AL094069.1	T12I18
5295250	AL094096.1	T12J19
5295251	AL094097.1	T12J19
5295254	AL094100.1	T12J21
5295255	AL094101.1	T12J21
5295289	AL094135.1	T12K17
5295290	AL094136.1	T12K17
5295296	AL094142.1	T12K23
5295297	AL094143.1	T12K23
5295298	AL094144.1	T12K24
5295299	AL094145.1	T12K24
5295304	AL094150.1	T12L4
5295305	AL094151.1	T12L4
5295312	AL094158.1	T12L8
5295313	AL094159.1	T12L8
5295334	AL094180.1	T12L23
5295335	AL094181.1	T12L23
5295344	AL094190.1	T12M6
5295345	AL094191.1	T12M6
5295346	AL094192.1	T12M7
5295349	AL094195.1	T12M14
5295350	AL094196.1	T12M14
5295355	AL094201.1	T12M17
5295356	AL094202.1	T12M17
5295375	AL094221.1	T12N6
5295376	AL094222.1	T12N6
5295405	AL094251.1	T12O8
5295406	AL094252.1	T12O8
5295411	AL094257.1	T12O13
5295412	AL094258.1	T12O13
5295440	AL094286.1	T12P8
5295441	AL094287.1	T12P8
5295444	AL094290.1	T12P10
5295445	AL094291.1	T12P10
5295452	AL094298.1	T12P17
5295453	AL094299.1	T12P17
5295474	AL094320.1	T13A5
5295475	AL094321.1	T13A5
5295482	AL094328.1	T13A9
5295483	AL094329.1	T13A9
5295496	AL094342.1	T13A19
5295497	AL094343.1	T13A19
5295500	AL094346.1	T13A22
5295501	AL094347.1	T13A22
5295522	AL094368.1	T13B11
5295523	AL094369.1	T13B11
5295564	AL094410.1	T13C21
5295565	AL094411.1	T13C21
5295592	AL094438.1	T13D14
5295593	AL094439.1	T13D14
5295596	AL094442.1	T13D16
5295618	AL094464.1	T13E5
5295619	AL094465.1	T13E5
5295633	AL094479.1	T13E16
5295634	AL094480.1	T13E16
5295635	AL094481.1	T13E17
5295636	AL094482.1	T13E17
5295639	AL094485.1	T13E19
5295640	AL094486.1	T13E19
5295649	AL094495.1	T13F1
5295688	AL094534.1	T13G2
5295689	AL094535.1	T13G2
5295690	AL094536.1	T13G3
5295691	AL094537.1	T13G3
5295698	AL094544.1	T13G10
5295699	AL094545.1	T13G10
5295719	AL094565.1	T13G24
5295720	AL094566.1	T13G24
5295735	AL094581.1	T13H9
5295746	AL094592.1	T13H17
5295747	AL094593.1	T13H17
5295752	AL094598.1	T13H21
5295753	AL094599.1	T13H21
5295756	AL094602.1	T13H23
5295757	AL094603.1	T13H23
5295765	AL094611.1	T13I3
5295782	AL094628.1	T13I13
5295783	AL094629.1	T13I13
5295788	AL094634.1	T13I16
5295811	AL094653.1	T13J6
5295812	AL094654.1	T13J6
5295813	AL094655.1	T13J7
5295814	AL094656.1	T13J7
5302819	AL094664.1	T13J15
5302820	AL094665.1	T13J15
5302822	AL094667.1	T13J16
5302825	AL094670.1	T13J18
5302836	AL094681.1	T13K7
5302837	AL094682.1	T13K7
5302875	AL094720.1	T13L15
5302876	AL094721.1	T13L15
5302883	AL094728.1	T13L20
5302901	AL094746.1	T13M7
5302902	AL094747.1	T13M7
5302924	AL094769.1	T13M23
5302925	AL094770.1	T13M23
5302938	AL094783.1	T13N12
5302939	AL094784.1	T13N12
5302945	AL094790.1	T13N16
5302946	AL094791.1	T13N16
5302947	AL094792.1	T13N17
5302948	AL094793.1	T13N17
5302949	AL094794.1	T13N18
5302950	AL094795.1	T13N18
5302955	AL094800.1	T13N21
5302956	AL094801.1	T13N21
5302970	AL094815.1	T13O5
5302971	AL094816.1	T13O5
5302991	AL094836.1	T13O17
5302992	AL094837.1	T13O17
5302998	AL094843.1	T13P2
5302999	AL094844.1	T13P2
5303005	AL094850.1	T13P7
5303035	AL094880.1	T14A8
5303036	AL094881.1	T14A8
5303064	AL094909.1	T14B4
5303065	AL094910.1	T14B4
5303068	AL094913.1	T14B7
5303069	AL094914.1	T14B7
5303090	AL094935.1	T14B19
5303091	AL094936.1	T14B19
5303102	AL094947.1	T14C1
5303103	AL094948.1	T14C1
5303110	AL094955.1	T14C6
5303111	AL094956.1	T14C6
5303117	AL094962.1	T14C10
5303178	AL095023.1	T14E5
5303179	AL095024.1	T14E5
5303193	AL095038.1	T14E17
5303203	AL095048.1	T14F1
5303204	AL095049.1	T14F1
5303215	AL095060.1	T14F7
5303216	AL095061.1	T14F7
5303233	AL095078.1	T14F16
5303234	AL095079.1	T14F16
5303239	AL095084.1	T14F19
5303240	AL095085.1	T14F19
5303257	AL095102.1	T14G9
5303258	AL095103.1	T14G9
5303263	AL095108.1	T14G14
5303275	AL095120.1	T14G20
5303276	AL095121.1	T14G21
5303277	AL095122.1	T14G21
5303290	AL095135.1	T14H6
5303291	AL095136.1	T14H6
5303307	AL095152.1	T14H22
5303308	AL095153.1	T14H22
5303327	AL095172.1	T14I12
5303328	AL095173.1	T14I12
5303337	AL095182.1	T14I18
5303338	AL095183.1	T14I18
5303356	AL095201.1	T14J10
5303357	AL095202.1	T14J10
5303367	AL095212.1	T14J16
5303368	AL095213.1	T14J17
5303369	AL095214.1	T14J17
5303370	AL095215.1	T14J18
5303371	AL095216.1	T14J18
5303421	AL095266.1	T14L13
5303430	AL095275.1	T14L20
5303433	AL095278.1	T14L23
5303434	AL095279.1	T14L23
5303442	AL095287.1	T14M10
5303446	AL095291.1	T14M15
5303462	AL095307.1	T14N3
5303481	AL095326.1	T14N23
5303490	AL095335.1	T14O6
5303496	AL095341.1	T14O9
5303497	AL095342.1	T14O9
5303500	AL095345.1	T14O11
5303501	AL095346.1	T14O11
5303503	AL095348.1	T14O12
5303509	AL095354.1	T14O16
5303517	AL095362.1	T14O22
5303518	AL095363.1	T14O22
5303527	AL095372.1	T14P9
5303531	AL095376.1	T14P13
5303541	AL095386.1	T14P19
5303562	AL095407.1	T15A8
5303563	AL095408.1	T15A8
5303580	AL095425.1	T15A19
5303626	AL095471.1	T15B24
5303627	AL095472.1	T15B24
5303632	AL095477.1	T15C4
5303640	AL095485.1	T15C11
5303641	AL095486.1	T15C11
5303665	AL095510.1	T15D3
5303666	AL095511.1	T15D3
5303667	AL095512.1	T15D4
5303668	AL095513.1	T15D4
5303680	AL095525.1	T15D16
5303695	AL095540.1	T15E5
5303696	AL095541.1	T15E5
5303729	AL095574.1	T15F2
5303772	AL095617.1	T15G21
5303773	AL095618.1	T15G21
5303780	AL095625.1	T15H3
5303781	AL095626.1	T15H3
5303793	AL095638.1	T15H13
5303794	AL095639.1	T15H13
5303799	AL095644.1	T15H17
5303800	AL095645.1	T15H17
5303809	AL095654.1	T15H23
5303811	AL095656.1	T15H24
5303812	AL095657.1	T15H24
5303814	AL095659.1	T15I2
5303815	AL095660.1	T15I2
5303849	AL095694.1	T15J3
5303850	AL095695.1	T15J3
5303886	AL095731.1	T15K11
5303887	AL095732.1	T15K11
5303903	AL095748.1	T15L2
5303917	AL095762.1	T15L12
5303925	AL095770.1	T15L17
5303926	AL095771.1	T15L17
5303996	AL095841.1	T15N20
5303997	AL095842.1	T15N20
5304012	AL095857.1	T15O8
5304013	AL095858.1	T15O8
5304026	AL095871.1	T15O17
5304027	AL095872.1	T15O17
5304034	AL095879.1	T15O23
5304035	AL095880.1	T15O23
5304068	AL095913.1	T15P20
5304069	AL095914.1	T15P20
5304096	AL095941.1	T16A19
5304109	AL095954.1	T16B8
5304110	AL095955.1	T16B8
5304131	AL095976.1	T16B22
5304140	AL095985.1	T16C5
5304172	AL096017.1	T16D7
5304182	AL096027.1	T16D13
5304183	AL096028.1	T16D13
5304284	AL096129.1	T16G23
5304305	AL096150.1	T16H16
5304308	AL096153.1	T16H20
5304330	AL096175.1	T16I11
5304358	AL096203.1	T16J10
5304359	AL096204.1	T16J10
5304360	AL096205.1	T16J11
5304423	AL096268.1	T16L11
5304424	AL096269.1	T16L11
5304439	AL096284.1	T16M3
5304440	AL096285.1	T16M3
5304459	AL096304.1	T16M18
5304531	AL096376.1	T16O19
5304532	AL096377.1	T16O19
5304560	AL096405.1	T16P12
5304585	AL096430.1	T17A7
5304586	AL096431.1	T17A7
5304589	AL096434.1	T17A10
5304590	AL096435.1	T17A10
5304619	AL096464.1	T17B8
5304650	AL096495.1	T17C6
5304651	AL096496.1	T17C6
5304657	AL096502.1	T17C18
5304658	AL096503.1	T17C18
5304674	AL096519.1	T17D5
5304726	AL096571.1	T17E17
5304727	AL096572.1	T17E17
5304732	AL096577.1	T17E22
5304733	AL096578.1	T17E22
5304752	AL096597.1	T17F11
5304753	AL096598.1	T17F11
5304766	AL096611.1	T17F18
5304767	AL096612.1	T17F18
5304770	AL096615.1	T17F21
5304771	AL096616.1	T17F21
5304824	AL096669.1	T17H18
5304825	AL096670.1	T17H18
