GB_GI	GB_accession	Clone_name
2316923	B19019.1	T26M16
2316936	B19032.1	T28L3
2316941	B19037.1	T29D1
2316946	B19042.1	T29L7
2316972	B19068.1	T6I17
2316973	B19069.1	T6J8
2316981	B19077.1	T7H8
2316987	B19083.1	T10B23
2316994	B19090.1	T11C3
2316997	B19093.1	T11J12
2316998	B19094.1	T12D23
2316999	B19095.1	T12K17
2317000	B19096.1	T12M14
2317002	B19098.1	T13I21
2317004	B19100.1	T7O11
2317005	B19101.1	T8C13
2317006	B19102.1	T8D12
2317007	B19103.1	T8G12
2317040	B19136.1	T5H14
2317165	B19261.1	T14I6
2317169	B19265.1	T26E19
2317172	B19268.1	T29B1
2317234	B19330.1	F28P12
2394533	B19479.1	T6I17
2394539	B19485.1	T7E6
2394541	B19487.1	T7F17
2394546	B19492.1	T10B23
2394552	B19498.1	T11B8
2394559	B19505.1	T12K17
2394560	B19506.1	T12M14
2394564	B19510.1	T8C13
2394565	B19511.1	T8D12
2394566	B19512.1	T8G12
2394590	B19536.1	T17O19
2394591	B19537.1	T1G4
2394594	B19540.1	T22D3
2394595	B19541.1	T22K20
2394598	B19544.1	T3J3
2394649	B19595.1	T30K1
2394651	B19597.1	T30P12
2394652	B19598.1	T31A8
2394668	B19614.1	F18K17
2394680	B19626.1	T12J18
2394683	B19629.1	T19A7
2394694	B19640.1	T4H23
2394719	B19665.1	T1G14
2394720	B19666.1	T31E13
2394721	B19667.1	T3G5
2394723	B19669.1	T8F5
2394749	B19695.1	T32H20
2394751	B19697.1	T7E6
2394758	B19704.1	T1E21
2394759	B19705.1	T1F5
2394760	B19706.1	T1I13
2394771	B19717.1	T2D12
2394784	B19730.1	T3M6
2394824	B19770.1	T4H13
2394826	B19772.1	T4H3
2394831	B19777.1	T4M14
2394832	B19778.1	T4N12
2394834	B19780.1	T4O14
2394843	B19789.1	T6A15
2394884	B19830.1	T1F5
2394885	B19831.1	T1I13
2394891	B19837.1	T1N1
2394894	B19840.1	T1P18
2394896	B19842.1	T2D12
2394904	B19850.1	T3C16
2394923	B19869.1	T17I17
2394931	B19877.1	T18H23
2394933	B19879.1	T18I19
2394940	B19886.1	T18P8
2394942	B19888.1	T10A9
2394967	B19913.1	T9K4
2394980	B19926.1	T12C19
2394988	B19934.1	T12P19
2394995	B19941.1	T14D20
2395011	B19957.1	T4H13
2395012	B19958.1	T4H21
2395016	B19962.1	T4I17
2395021	B19967.1	T4O14
2395027	B19973.1	T5M14
2395030	B19976.1	T6A15
2395034	B19980.1	T6D22
2395035	B19981.1	T6F5
2395089	B20035.1	T1N13
2395096	B20042.1	T9E18
2395111	B20057.1	T17I17
2395120	B20066.1	T18H23
2395123	B20069.1	T18J16
2395137	B20083.1	T12B18
2395180	B20126.1	T9A18
2395194	B20140.1	T26M16
2395209	B20155.1	T28M6
2395211	B20157.1	T29A8
2395213	B20159.1	T29D1
2395215	B20161.1	T29H3
2395218	B20164.1	T29L22
2395233	B20179.1	T18L18
2395238	B20184.1	T19O16
2395240	B20186.1	T20B15
2395245	B20191.1	T20E5
2395260	B20206.1	T22G16
2395261	B20207.1	T22K18
2395268	B20214.1	T23K23
2395271	B20217.1	T24C6
2395281	B20227.1	T26B4
2395304	B20250.1	T1F11
2395305	B20251.1	T1F13
2395306	B20252.1	T1G12
2395310	B20256.1	T2O8
2395313	B20259.1	T32A6
2395315	B20261.1	T3G5
2395318	B20264.1	T8B10
2395322	B20268.1	T19B12
2395325	B20271.1	T19B8
2395335	B20281.1	T20I23
2395339	B20285.1	T20J7
2395353	B20299.1	T19B12
2395366	B20312.1	T20I23
2395370	B20316.1	T20J7
2395374	B20320.1	T21I24
2395443	B20389.1	T7A10
2395481	B20427.1	T22F21
2395490	B20436.1	T23B10
2395491	B20437.1	T23D2
2395509	B20455.1	T25A20
2395515	B20461.1	T25D1
2395528	B20474.1	T26N4
2395559	B20505.1	T3D18
2395565	B20511.1	T4J6
2395615	B20561.1	T14N21
2395631	B20577.1	T21A2
2395635	B20581.1	T21I13
2395637	B20583.1	T22F4
2395638	B20584.1	T22I20
2395639	B20585.1	T22N8
2395652	B20598.1	T26D2
2395653	B20599.1	T26E13
2395656	B20602.1	T26J3
2395667	B20613.1	T21I13
2395668	B20614.1	T22E19
2395675	B20621.1	T24L10
2395714	B20660.1	T1N13
2395715	B20661.1	T1N5
2395716	B20662.1	T2B24
2395717	B20663.1	T3H22
2395759	B20705.1	T13K17
2395772	B20718.1	T6L11
2395777	B20723.1	T9A23
2395778	B20724.1	T9D10
2395786	B20732.1	T16K11
2395789	B20735.1	T17H5
2395794	B20740.1	T17M14
2395810	B20756.1	T20B23
2395815	B20761.1	T12J14
2395831	B20777.1	T4D17
2395835	B20781.1	T6N20
2395844	B20790.1	T26L16
2395849	B20795.1	T27D9
2395861	B20807.1	T28P13
2395867	B20813.1	T29N7
2395875	B20821.1	T30K20
2395877	B20823.1	T26L16
2395880	B20826.1	T27B19
2395885	B20831.1	T28B6
2395886	B20832.1	T28C10
2395888	B20834.1	T28C4
2395889	B20835.1	T28H19
2395900	B20846.1	T29O3
2395903	B20849.1	T30F18
2395904	B20850.1	T30G15
